strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,pipeline_acc_dis_est,pipeline_abs_err,checkpoint_remove_accuracy,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold,prop_const,checkpoint_batch
nothing,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,100,500,1.0,2,1.9073486328125e-06,0,0,1.9073486328125e-06,0.846,0.85,0.85,0.0,None,0.0,0.85,100,False,0.5299999713897705,0.5299999713897705,None,None,0
nothing,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,100,500,1.0,2,9.5367431640625e-07,0,0,9.5367431640625e-07,0.846,0.85,0.85,0.0,None,0.0,0.85,200,False,0.4699999988079071,0.5,None,None,0
nothing,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,100,500,1.0,2,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.846,0.8466666666666667,0.84,0.0,None,0.0,0.8466666666666667,300,False,0.5,0.5,None,None,0
nothing,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,100,500,1.0,2,9.5367431640625e-07,0,0,9.5367431640625e-07,0.846,0.8475,0.85,0.0,None,0.0,0.8475,400,False,0.5,0.5,None,None,0
nothing,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,100,500,1.0,2,9.5367431640625e-07,0,0,9.5367431640625e-07,0.846,0.842,0.82,0.0,None,0.0,0.842,500,False,0.5799999833106995,0.515999972820282,None,None,0
nothing,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,100,500,1.0,2,7.152557373046875e-07,0,0,7.152557373046875e-07,0.846,0.8433333333333334,0.85,0.0,None,0.0,0.8433333333333334,600,False,0.4000000059604645,0.49666666984558105,None,None,0
nothing,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,100,500,1.0,2,7.152557373046875e-07,0,0,7.152557373046875e-07,0.846,0.8485714285714285,0.88,0.0,None,0.0,0.8485714285714285,700,False,0.6000000238418579,0.5114285945892334,None,None,0
nothing,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,100,500,1.0,2,7.152557373046875e-07,0,0,7.152557373046875e-07,0.846,0.8525,0.88,0.0,None,0.0,0.8525,800,False,0.5099999904632568,0.5112500190734863,None,None,0
nothing,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,100,500,1.0,2,9.5367431640625e-07,0,0,9.5367431640625e-07,0.846,0.85,0.83,0.0,None,0.0,0.85,900,False,0.4399999976158142,0.503333330154419,None,None,0
nothing,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,100,500,1.0,2,9.5367431640625e-07,0,0,9.5367431640625e-07,0.846,0.851,0.86,0.0,None,0.0,0.851,1000,False,0.5400000214576721,0.5070000290870667,None,None,0
